Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TCFAP2C 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse,30/1980,0.013954511,0.08236565,0,0,1.615384615,6.900846268,HIP1;INPP1;GMFG;ITPR1;PPM1J;WDR45;LITAF;CENPA;OAZ2;RCBTB2;ACTG1;SNX2;RGS3;ORMDL3;SNX9;UBE2H;ANXA2;IFNGR1;APLP2;ITPK1;ARPC5;VPS37B;SORL1;ASRGL1;DUSP7;TPST2;ID2;ZYX;S100A6;MXD1
SOX4 29892750 ChIP-Seq EML Mouse BoneMarrow,5/142,0.014163805,0.082617338,0,0,3.680142242,15.66660654,TPST2;MAF;GSTT2;ASRGL1;SNTB2
HOXB7 26014856 ChIP-Seq BT474 Human,25/1573,0.014279771,0.082617338,0,0,1.684385382,7.156804168,CITED2;ITGB3;AK3;GIMAP4;SLC2A3;LITAF;GIMAP7;OAZ2;ACTG1;CLN3;SNX2;IRAK2;CTSD;SLAMF1;ENTPD1;APAF1;IL10RA;SH2D3C;HIP1R;GZMB;ASRGL1;RNF125;CD7;SIDT1;PXMP4
RUNX1 17652178 ChIP-ChIP JURKAT Human,14/724,0.014338546,0.082617338,0,0,2.023777071,8.590536652,SH2D1A;HPCAL1;SLA;ARHGAP18;FURIN;TEX2;LYST;GLIPR1;RNF125;ORMDL3;ATF6;S100A11;S100A10;SNTB2
CLOCK 20551151 ChIP-Seq 293T Human,9/382,0.014998938,0.08529948,0,0,2.454177954,10.30699732,UBE2H;ANXA2;DGAT1;PMVK;ITPR1;AK3;LITAF;CDK5RAP3;S100A10
EGR1 23403033 ChIP-Seq LIVER Mouse,11/516,0.015039027,0.08529948,0,0,2.223741422,9.333279944,HSD11B1;RNF125;IGSF23;IFNGR1;NPC2;PMVK;AK3;ARPC5;GBP2;LYST;ASRGL1
POU2F1 35413990 ChIP-Seq Human ARposCRProstateCancer,14/732,0.015629603,0.087961949,0,0,2.000389373,8.318796374,ENTPD1;ANXA2;ARHGAP18;PRDM1;ARPC5;TENT5A;TEX2;CENPA;OAZ2;MAF;ID2;SPATA13;CASP1;SNTB2
RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone,57/4374,0.016106545,0.08994886,0,0,1.429591257,5.902109758,HIP1;NARF;CSF1;WIPF1;ITGB3;CROT;ACTG1;PODNL1;RGS3;ANXA6;CIR1;CTSD;DUSP5;TPI1;ANXA2;APLP2;HPCAL1;TRAFD1;VPS37B;TEX2;LZTFL1;MFSD10;DUS2;VAMP8;TPST2;PRPF18;PEAK1;S100A6;S100A4;PLEKHO2;VAMP5;ITPR1;CENPA;PLD3;IRAK2;HLTF;ORMDL3;PMVK;ANO10;BID;S100A11;S100A10;CTSA;KDM4A;UBE2H;GALNT2;TRIP4;NBEAL2;PNRC2;PINK1;LPCAT4;ID2;ZYX;NUCB1;PXMP4;MXD1;SNTB2
P300 27268052 Chip-Seq Bcells Human,25/1596,0.016824682,0.093242131,0,0,1.6576339,6.771282474,HIP1;INPP1;SLA;AK3;GIMAP5;LITAF;GIMAP7;ICAM1;GNA15;IRAK2;CHMP1B;CCL5;PMVK;EFHD2;JAK2;BID;UBE2H;DGAT1;HPCAL1;ASRGL1;NPC2;EHBP1L1;S100A6;UNC119;PLEKHO2
RUNX2 24764292 ChIP-Seq MC3T3 Mouse,25/1600,0.017302098,0.095161538,0,0,1.653061224,6.706349579,HIP1;ITGB3;GLRX;CROT;OAZ2;ACTG1;GLIPR1;NCK2;PGLYRP1;BID;S100A11;DUSP5;KDM4A;ANXA2;APLP2;ITPK1;RHOC;MAF;ID2;SPATA13;ZYX;S100A6;RIN3;ATF6;SNTB2
RUNX1 22343733 ChIP-Seq PBMC Human BoneMarrow,14/748,0.018478532,0.100867778,0,0,1.955143418,7.803262116,HPCAL1;NBEAL2;ABCB9;ASRGL1;SYTL2;TMEM154;DOK2;IRAK2;CXCR3;SESN1;PGLYRP1;BID;SIPA1;MYO1F
LXR 22292898 ChIP-Seq THP-1 Human,25/1614,0.019058621,0.102626493,0,0,1.637238155,6.483849072,TBC1D9B;CSF1;SLA;GIMAP5;ACTG1;PSTPIP1;ANXA6;EFHD2;CCR5;CTSD;APLP2;F2R;NBEAL2;RHOC;MFSD10;DUSP7;RAET1E;EHBP1L1;ZYX;S100A6;CD226;RIN3;ASB2;SIPA1;MYO1F
RUNX1 22343733 ChIP-Seq Kasumi1 Human PeriphBlood AML,9/399,0.019321526,0.102626493,0,0,2.345147,9.25520576,DOK2;IRAK2;HPCAL1;NUCB1;ABCB9;PGLYRP1;BID;MFSD10;TMEM154
ZFX 18555785 ChIP-Seq MESCs Mouse,34/2372,0.019357652,0.102626493,0,0,1.529749451,6.034352918,TBC1D9B;INPP1;NGLY1;AK3;FURIN;CROT;HIF1A;RCBTB2;ACTG1;SNX2;RNF138;IRAK2;PMVK;NCK2;BAK1;BID;S100A10;CTSA;TPI1;DGAT1;IFNGR1;ITPK1;HIP1R;TRAFD1;VPS37B;LZTFL1;DUSP7;PNRC2;VAMP8;TPST2;PINK1;UNC119;S100A4;EIF4E2
GATA4 21415370 ChIP-Seq HL-1 Mouse,22/1374,0.019551703,0.102626493,0,0,1.686457017,6.635690408,CTSA;L3MBTL3;UBE2H;HIP1;CITED2;TMEM120A;ITPK1;TRAFD1;CROT;VPS37B;SYTL2;VAMP8;PRPF18;NPC2;ID2;HLTF;RANBP10;UNC119;NUCB1;EIF4E2;ATF6;SNTB2
GATA2 19941826 ChIP-Seq K562 Human,25/1618,0.0195856,0.102626493,0,0,1.632768362,6.421613787,HIP1;NARF;CSF1;WIPF1;ITPR1;FURIN;PRDM1;FOXO3;OAZ2;GNA15;HLTF;EFHD2;S100A11;UBE2H;GALNT2;HPCAL1;NBEAL2;VPS37B;RHOC;TEX2;LZTFL1;DOK2;MAF;EHBP1L1;ATF6
CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,31/2119,0.019648874,0.102626493,0,0,1.556008978,6.114703318,UNC119B;HIP1;INPP1;ITPR1;DTX1;ABRACL;SLC2A3;OAZ2;RAP1B;SNX2;RGS3;SESN1;SNX9;CIR1;OSTF1;CTSA;IFNGR1;GALNT2;HPCAL1;HIP1R;NBEAL2;TENT5A;RHOC;DUSP7;PINK1;RNF125;LPCAT4;UNC119;PLEKHO2;EIF4E2;TMEM229B
SMRT 27268052 Chip-Seq Bcells Human,25/1621,0.019988346,0.10365385,0,0,1.62943072,6.375320233,TBC1D9B;SLA;ARHGAP18;PRDM1;LITAF;GNA15;SNX2;RGS3;IRAK2;SESN1;PMVK;ANXA6;SNX9;BID;S100A11;DUSP5;UBE2H;GALNT2;HPCAL1;TMEM154;ID2;SIDT1;NUCB1;PLEKHO2;TMEM229B
VDR 23401126 ChIP-Seq LCL-AND-THP1 Human,6/213,0.020450253,0.105297046,0,0,2.927386822,11.38683228,HSD11B1;RGS3;IRAK2;ITPK1;NCK2;VPS37B
POU5F1 16518401 ChIP-PET MESCs Mouse,15/836,0.021077687,0.107569862,0,0,1.874345722,7.234112824,L3MBTL3;UBE2H;GMFG;ITPR1;GSTT2;SLC2A3;UBE2G2;ASRGL1;CXCR3;RAB19;BAK1;JAK2;EIF4E2;GBP2;ATF6
CTCF 31629814 ChIP-Seq Hepatocytes Mouse Tyrosinemia,42/3086,0.021213291,0.107569862,0,0,1.463247892,5.638080479,L3MBTL3;TBC1D9B;NARF;ITGB3;AK3;PRDM1;FOXO3;HIF1A;LYST;LITAF;RAP1B;IRAK2;SESN1;NCK2;EFHD2;SNX9;OSTF1;BAK1;JAK2;CDK5RAP3;CTSA;DUSP5;ENTPD1;DGAT1;IFNGR1;GALNT2;APLP2;UBE2G2;RHOC;SORL1;SYTL2;VAMP8;TPST2;PINK1;RNF125;PRPF18;ZYX;S100A6;RIN3;VAMP5;TMEM229B;SNTB2
FOXO1 23066095 ChIP-Seq LIVER Mouse,7/276,0.021336171,0.107569862,0,0,2.633376351,10.1315244,TPST2;UNC119B;IL2RB;RANBP10;ANO10;IL12RB1;FOXO3
SMAD1 26771354 ChIP-Seq mESC Mouse Stem,17/994,0.022043159,0.110367817,0,0,1.789748925,6.827450037,WIPF1;ITPK1;F2R;TRIP4;ARHGAP18;SLC2A3;GLRX;CROT;PRDM1;FOXO3;TMEM154;ACTG1;PSTPIP1;PRPF18;ADGRE5;RIN3;SNTB2
FOXP3 17237761 ChIP-ChIP TREG Mouse,4/108,0.023239643,0.115561511,0,0,3.864992151,14.53969744,UBE2H;RAB19;SNX9;HIF1A
RUNX1 27514584 Chip-Seq MCF-7 Human,24/1568,0.024326112,0.120114064,0,0,1.612341027,5.991789663,HIP1;NARF;ITPR1;ABCB9;PRDM1;RHOC;DNAJC15;HIF1A;LYST;LITAF;SORL1;CLN3;PRPF18;RGS3;NPC2;ID2;CHMP1B;ANXA6;S100A6;BID;ASB2;CTSD;S100A11;TMEM229B
SPI1 22790984 ChIP-Seq ERYTHROLEUKEMIA Mouse,24/1572,0.024980839,0.120114064,0,0,1.60782241,5.93229581,NARF;GMFG;ITPR1;TRIP4;SLA;SLC2A3;ABCB9;TAPBPL;ARPC5;FOXO3;CENPA;MFSD10;PNRC2;DOK2;PRPF18;IRAK2;CHMP1B;HLTF;EFHD2;S100A4;EIF4E2;ATF6;CDK5RAP3;MYO1F
MYC 19829295 ChIP-Seq ESCs Human,24/1572,0.024980839,0.120114064,0,0,1.60782241,5.93229581,KDM4A;L3MBTL3;PRELID1;GMFG;NGLY1;TRAFD1;SLC2A3;GLRX;FURIN;UBE2G2;GIMAP5;SNX20;LZTFL1;ICAM1;SYTL2;MAF;RNF138;NPC2;DDT;S100A6;NUCB1;EIF4E2;S100A11;SNTB2
OCT4 18692474 ChIP-Seq MEFs Mouse,25/1655,0.025024717,0.120114064,0,0,1.592462752,5.87282949,CITED2;ITGB3;ITPR1;GSTT2;DTX1;SLC2A3;WDR45;CENPA;PLD3;HSD11B1;RGS3;CHMP1B;ORMDL3;ANXA6;SNX9;OSTF1;IL12RB1;ENTPD1;UBE2H;RHOC;TEX2;DOK2;MAF;ID2;SNTB2
EVI1 22308434 ChIP-Seq SKOV3 Human Ovary OvarianCancer,17/1010,0.025223907,0.120114064,0,0,1.75941426,6.474579441,INPP1;TRAFD1;ARHGAP18;ABRACL;PRDM1;HIF1A;SYTL2;TMEM154;GLIPR1;RNF125;PODNL1;NPC2;S100A6;S100A4;BAK1;JAK2;MXD1
NR1I2 20693526 ChIP-Seq LIVER Mouse,12/631,0.025250212,0.120114064,0,0,1.977898464,7.276531644,SNX2;GALNT2;ID2;SPATA13;RANBP10;ANXA6;ITPR1;RIN3;VPS37B;RHOC;ATF6;SNTB2
GATA3 21878914 ChIP-Seq MCF-7 Human,24/1574,0.025313295,0.120114064,0,0,1.605571848,5.902765354,PGLYRP2;TPI1;FAM89B;APAF1;CITED2;IFNGR1;INPP1;ITPR1;ARHGAP18;SLC2A3;GIMAP5;RHOC;OAZ2;SYTL2;RAP1B;SNX2;RAET1E;PODNL1;RGS3;SESN1;ANO10;CIR1;PLEKHO2;BID
KDM2B 26808549 Chip-Seq JURKAT Human,25/1660,0.025841998,0.12182656,0,0,1.587155963,5.802252235,L3MBTL3;FURIN;PRDM1;SLA2;FOXO3;LYST;RGS3;EFHD2;CTSD;CDK5RAP3;S100A10;DUSP5;GALNT2;IL10RA;APLP2;HPCAL1;HIP1R;ARPC5;VPS37B;RHOC;PNRC2;DOK2;ID2;EHBP1L1;MYO1F
ZNF263 19887448 ChIP-Seq K562 Human,Mar-64,0.026279766,0.123091035,0,0,4.927768994,17.93193444,DUSP5;APLP2;SIPA1
ESR1 22446102 ChIP-Seq UTERUS Mouse,19/1183,0.028310489,0.131241789,0,0,1.6806402,5.99068048,ANXA2;ITGB3;F2R;ITPR1;TRIP4;ARHGAP18;PRDM1;VPS37B;DNAJC15;HIF1A;LYST;LITAF;SYTL2;SH3BGRL;RGS3;MAF;IRAK2;ID2;JAK2
MYC 22102868 ChIP-Seq BL Human,11/569,0.028381489,0.131241789,0,0,2.006997781,7.14896252,RNF138;PMVK;DTX1;NBEAL2;VPS37B;BID;FOXO3;ASB2;LIME1;ICAM1;RCBTB2
JUN 26020271 ChIP-Seq HCASMC Human CoronaryArtery,10/498,0.028624887,0.131529542,0,0,2.082830026,7.401292297,UBE2H;ORMDL3;RIN3;VPS37B;FOXO3;MXD1;GBP2;ASB2;SDCBP2;SYTL2
CSB 26484114 Chip-Seq FIBROBLAST Human,24/1594,0.028829732,0.131637643,0,0,1.583381587,5.615222243,NMB;TPI1;ANXA2;INPP1;ARHGAP18;FURIN;TAPBPL;SLA2;TEX2;ASRGL1;RCBTB2;SYTL2;TMEM154;ACTG1;DOK2;PODNL1;HLTF;ANO10;RAB19;CTSD;SIPA1;S100A10;CCR2;TMEM229B
TP53 23651856 ChIP-Seq MEFs Mouse,35/2541,0.0301139,0.136037237,0,0,1.463856442,5.127550114,CSF1;FOXO3;PLD3;ICAM1;RCBTB2;HSD11B1;GLIPR1;GNA15;RGS3;SESN1;ANXA6;NCK2;ANO10;SNX9;CTSD;APAF1;GALNT2;HPCAL1;TRIP4;TRAFD1;NBEAL2;TEX2;DNAJC15;SNX20;SORL1;LZTFL1;SYTL2;TPST2;RNF125;PRPF18;RANBP10;S100A6;S100A4;PLEKHO2;MXD1
BRD4 25478319 ChIP-Seq HGPS Human,26/1770,0.030436749,0.136037237,0,0,1.54703153,5.402395834,SLA;ARHGAP18;SLC2A3;PRDM1;HIF1A;LYST;RCBTB2;RAP1B;PSTPIP1;RGS3;SESN1;PMVK;JAK2;CDK5RAP3;S100A11;S100A10;DUSP5;IFNGR1;GALNT2;HPCAL1;RHOC;DNAJC15;PRPF18;S100A6;RIN3;VAMP5
PU.1 20513432 ChIP-Seq Bcells Mouse,23/1520,0.030538428,0.136037237,0,0,1.588748118,5.542775916,ENTPD1;DGAT1;IL10RA;SH2D3C;SLA;ARHGAP18;TEX2;DNAJC15;LYST;LIME1;MFSD10;VAMP8;ID2;EHBP1L1;CD7;ANXA6;SNX9;OSTF1;JAK2;BID;MXD1;EIF4E2;ATF6
TFAP2C 20629094 ChIP-Seq MCF-7 Human,17/1034,0.030631908,0.136037237,0,0,1.71570192,5.98044463,UBE2H;HIP1;ITPK1;HPCAL1;FURIN;UBE2G2;DNAJC15;SYTL2;RGS3;IRAK2;SESN1;ZYX;SIDT1;NCK2;RAB19;ASB2;TMEM229B
CTCF 26484167 Chip-Seq Bcells Mouse,23/1521,0.030737199,0.136037237,0,0,1.587600794,5.528473123,L3MBTL3;TBC1D9B;HIP1;NARF;CITED2;ITPK1;GSTT2;DTX1;PRDM1;ARPC5;DHRS1;TEX2;LITAF;ICAM1;GNA15;PRPF18;DDT;BAK1;JAK2;MXD1;GBP2;CDK5RAP3;S100A11
BCL6 25482012 ChIP-Seq CML-JURL-MK1 Human,24/1605,0.030917554,0.136037237,0,0,1.57141625,5.462920435,KDM4A;UBE2H;HIP1;CITED2;HPCAL1;TRAFD1;SLC2A3;PRDM1;ASRGL1;MFSD10;HSD11B1;GNA15;RAET1E;PRPF18;MAF;ORMDL3;EHBP1L1;S100A6;EFHD2;UNC119;NUCB1;IL12RB1;S100A11;SIPA1
MNX1 26342078 ChIP-Seq MIN6-4N Mouse,23/1533,0.033200128,0.145200561,0,0,1.573951435,5.359621844,KDM4A;NARF;CITED2;INPP1;ITGB3;SH2D3C;ARHGAP18;GSTT2;NBEAL2;UBE2G2;LITAF;GNA15;RGS3;LPCAT4;CCL5;ANXA6;ZYX;SIDT1;UNC119;SNX9;IL12RB1;ASB2;ATF6
NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,49/3823,0.034581487,0.150327483,0,0,1.37797829,4.636120884,PGLYRP2;HIP1;CSF1;CITED2;NGLY1;PRDM1;LYST;ICAM1;ACTG1;PSTPIP1;RGS3;CASP4;EPSTI1;NCK2;EFHD2;CIR1;OSTF1;JAK2;DUSP5;ANXA2;IFNGR1;SH2D3C;HPCAL1;TRAFD1;VPS37B;TEX2;SDCBP2;PRPF18;MAF;PEAK1;SPATA13;ITPR1;GSTT2;ABCB9;FOXO3;OAZ2;HSD11B1;RAP1B;SNX2;IRAK2;CCL5;BID;GBP2;SLAMF1;GALNT2;SORL1;PNRC2;ASB2;SNTB2
GATA2 21666600 ChIP-Seq HMVEC Human,11/588,0.034786525,0.150327483,0,0,1.938992967,6.512156699,RAP1B;DUSP5;RGS3;NPC2;SH2D3C;DHRS1;TEX2;GBP2;ATF6;VAMP5;S100A11
EBNA2 21746931 ChIP-Seq IB4-LCL Human,18/1137,0.036489327,0.155869961,0,0,1.651091536,5.466327314,DUSP5;ABCB9;LITAF;ICAM1;MFSD10;GNA15;LPCAT4;IRAK2;ORMDL3;EHBP1L1;PMVK;S100A6;NUCB1;PGLYRP1;IL12RB1;VAMP5;S100A10;TMEM229B
ASXL1 24218140 ChIP-Seq BMDM Mouse,11/593,0.036629522,0.155869961,0,0,1.921834942,6.355317418,RAP1B;DUSP5;GLIPR1;CHMP1B;IL10RA;EHBP1L1;OSTF1;JAK2;SNX20;SIPA1;DUSP7
NFI 21473784 ChIP-Seq ESCs Mouse,23/1549,0.036713173,0.155869961,0,0,1.556086219,5.142273116,KDM4A;TPI1;CSF1;CITED2;INPP1;ITPK1;TRIP4;GIMAP4;FURIN;CROT;ARPC5;VPS37B;DHRS1;VAMP8;PRPF18;RGS3;MAF;ID2;CIR1;BAK1;BID;ATF6;VAMP5
NKX2-5 21415370 ChIP-Seq HL-1 Mouse,16/980,0.03734678,0.157372664,0,0,1.699079921,5.585739821,ENTPD1;UBE2H;NARF;ANXA2;APAF1;ARHGAP18;GLRX;ABCB9;CROT;OAZ2;RNF125;HLTF;OSTF1;EIF4E2;VAMP5;SNTB2
SPI1 26923725 Chip-Seq MACROPHAGESS Mouse,22/1469,0.037500649,0.157372664,0,0,1.567621503,5.147123817,KDM4A;TBC1D9B;GALNT2;IL10RA;SLA;TRAFD1;GIMAP4;VPS37B;LITAF;SORL1;MFSD10;DUSP7;HSD11B1;VAMP8;RAP1B;PINK1;RGS3;CD7;ANXA6;ZYX;CCR5;TMEM229B
CTCF 21964334 ChIP-Seq BJAB-B Human,24/1638,0.037877087,0.158038879,0,0,1.536498817,5.029588935,DUSP5;TPI1;ITGB3;ITPK1;PPM1J;UBE2G2;DHRS1;LYST;SORL1;ASRGL1;ICAM1;PINK1;PRPF18;MAF;LPCAT4;NPC2;EHBP1L1;RANBP10;S100A6;RIN3;CCR5;CDK5RAP3;S100A11;S100A10
GATA6 25053715 ChIP-Seq YYC3 Human,24/1639,0.038104946,0.158081092,0,0,1.535462989,5.016988938,UBE2H;ANXA2;CSF1;GALNT2;NGLY1;VPS37B;RHOC;DHRS1;HIF1A;CENPA;HSD11B1;PSTPIP1;RAET1E;RNF138;EHBP1L1;CASP4;UNC119;NUCB1;GBP2;ASB2;ATF6;S100A11;S100A10;TMEM229B
TAL1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia,30/2154,0.038568137,0.159093564,0,0,1.468594217,4.780757076,TBC1D9B;WIPF1;CITED2;ITGB3;SLA;SLA2;ACTG1;RAP1B;SESN1;HLTF;ORMDL3;NCK2;EFHD2;SNX9;CIR1;OSTF1;JAK2;BID;CCR2;KLRG1;UBE2H;GALNT2;F2R;HPCAL1;VPS37B;PRPF18;CD226;ATF6;VAMP5;SIPA1
CTNNB1 24651522 ChIP-Seq LGR5+ INTESTINAL STEM Human,4/127,0.038802699,0.159156834,0,0,3.264808362,10.60822907,ID2;IL10RA;MYO1F;KLRG1
EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse,20/1313,0.039902553,0.162275252,0,0,1.59035834,5.123045132,L3MBTL3;UBE2H;ANXA2;CSF1;WIPF1;CITED2;SLA;FURIN;PRDM1;RHOC;TEX2;OAZ2;PNRC2;RAP1B;RGS3;MAF;ID2;ORMDL3;EFHD2;RIN3
BCL6 27268052 Chip-Seq Bcells Human,23/1563,0.040010014,0.162275252,0,0,1.540758676,4.959125178,TBC1D9B;CSF1;DGAT1;HPCAL1;HIP1R;GIMAP4;ABCB9;PRDM1;GIMAP5;LITAF;GNA15;PODNL1;IRAK2;NPC2;ORMDL3;EHBP1L1;UNC119;NUCB1;CIR1;PGLYRP1;IL12RB1;BID;S100A10
CJUN 26792858 Chip-Seq BT549 Human,23/1564,0.040253674,0.162356484,0,0,1.539674509,4.946287513,DUSP5;ANXA2;WIPF1;CITED2;GALNT2;SLA;ARHGAP18;VPS37B;RHOC;FOXO3;LYST;SDCBP2;SYTL2;PRPF18;RGS3;IRAK2;CHMP1B;SESN1;EPSTI1;ZYX;CTSD;S100A11;S100A10
KDM2B 26808549 Chip-Seq SIL-ALL Human,24/1652,0.041161563,0.165101077,0,0,1.522113022,4.85592166,KDM4A;ENTPD1;DGAT1;GALNT2;ITPK1;HPCAL1;FURIN;PRDM1;SDCBP2;ACTG1;PNRC2;RAP1B;DOK2;ID2;SPATA13;EHBP1L1;CD7;S100A6;EFHD2;SNX9;IL12RB1;BID;S100A11;S100A10
SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse,35/2614,0.042992647,0.17061931,0,0,1.416416981,4.45707639,UNC119B;NARF;AK3;GLRX;PPM1J;ABCB9;TAPBPL;FOXO3;LITAF;ICAM1;CLN3;PSTPIP1;PODNL1;EPSTI1;IL12RB1;CDK5RAP3;TPI1;IL10RA;ITPK1;F2R;TRAFD1;RHOC;TEX2;LIME1;SNX20;TMEM154;PNRC2;MAF;EHBP1L1;IL2RB;SIDT1;S100A6;UNC119;NUCB1;TMEM229B
DPY 21335234 ChIP-Seq ESCs Mouse,23/1575,0.043007347,0.17061931,0,0,1.527840876,4.807174582,PGLYRP2;CITED2;IFNGR1;INPP1;NGLY1;GSTT2;ABCB9;GIMAP5;ARPC5;FOXO3;SDCBP2;RCBTB2;ACTG1;PODNL1;ID2;SESN1;ORMDL3;ANXA6;SNX9;IL12RB1;EIF4E2;ATF6;MYO1F
NANOG 20526341 ChIP-Seq ESCs Human,23/1579,0.044042467,0.173776256,0,0,1.523579219,4.757529914,WIPF1;ITGB3;TRAFD1;SLC2A3;FURIN;PPM1J;PRDM1;RHOC;RCBTB2;PSTPIP1;GNA15;PINK1;CCL5;ORMDL3;PMVK;S100A6;PXMP4;SNX9;PGLYRP1;IL12RB1;BID;ATF6;S100A10
ESR1 22217937 ChIP-Seq MCF-7 Human BreastCancer,4/133,0.044702426,0.175426816,0,0,3.112007594,9.67127163,ANXA2;UNC119;PPM1J;CENPA
CDX2 21402776 ChIP-Seq INTESTINAL-VILLUS Mouse,22/1514,0.049401745,0.192826168,0,0,1.516612947,4.561622199,L3MBTL3;APAF1;CITED2;IFNGR1;INPP1;HPCAL1;ARHGAP18;UBE2G2;PRDM1;ARPC5;TEX2;FOXO3;LYST;HSD11B1;RAP1B;DDT;SESN1;NCK2;RIN3;EIF4E2;ATF6;SLAMF1
CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse,20/1349,0.05029835,0.195275945,0,0,1.544268874,4.617028849,TPI1;ANXA2;CITED2;ITGB3;NGLY1;ITPR1;TRAFD1;ARHGAP18;PRDM1;TEX2;HIF1A;SORL1;LZTFL1;VAMP8;MAF;ZYX;S100A6;S100A4;GBP2;SNTB2
RXRA 24833708 ChIP-Seq LIVER Mouse,21/1434,0.05067222,0.195364678,0,0,1.526634167,4.552999303,TPI1;HPCAL1;ITPR1;HIP1R;ARHGAP18;CROT;UBE2G2;VPS37B;DUSP7;HSD11B1;GNA15;SESN1;ORMDL3;CD7;EFHD2;UNC119;SNX9;EIF4E2;CDK5RAP3;SIPA1;TMEM229B
P300 27058665 Chip-Seq ZR-75-30cells Human,24/1689,0.0508594,0.195364678,0,0,1.485257985,4.424123587,KDM4A;CSF1;GALNT2;APLP2;ITPK1;SH2D3C;SLC2A3;PPM1J;ABCB9;ARPC5;RHOC;FOXO3;HIF1A;PNRC2;EHBP1L1;PMVK;S100A6;EFHD2;S100A4;GBP2;ATF6;MYO1F;TMEM229B;SNTB2
RELA 24523406 ChIP-Seq FIBROSARCOMA Human,17/1104,0.051322141,0.195901946,0,0,1.599232861,4.749134702,DUSP5;CSF1;TRIP4;GZMB;GLRX;ABCB9;PRDM1;HIF1A;ICAM1;SH3BGRL;CCL5;CASP4;S100A6;S100A4;PGLYRP1;CCR5;S100A10
POU5F1 26923725 Chip-Seq MESODERM Mouse,8/406,0.052008523,0.195901946,0,0,2.031197655,6.004926461,TPST2;MAF;DGAT1;TMEM120A;HPCAL1;ARHGAP18;RIN3;CCR5
TEAD4 26923725 Chip-Seq HEMANGIOBLAST Mouse,8/406,0.052008523,0.195901946,0,0,2.031197655,6.004926461,TPST2;MAF;DGAT1;TMEM120A;HPCAL1;ARHGAP18;RIN3;CCR5
ENL 26711339 ChIP-Seq SEM Human Blood Leukemia,22/1523,0.052078616,0.195901946,0,0,1.506778253,4.452531016,L3MBTL3;HIP1;WIPF1;CITED2;GALNT2;NGLY1;HPCAL1;VPS37B;FOXO3;HIF1A;LITAF;RCBTB2;TMEM154;PNRC2;RAP1B;RNF125;ID2;SESN1;HLTF;NCK2;BID;SLAMF1
NR3C1 34362910 ChIP-Seq WistarRat Hippocampus Stress,12/709,0.053279167,0.199384923,0,0,1.749412375,5.129644271,TPST2;HIP1;PRPF18;RGS3;SH2D3C;ITPR1;RIN3;SNX9;BAK1;FOXO3;LYST;SIPA1
TP53 16413492 ChIP-PET HCT116 Human,6/269,0.053767709,0.200181316,0,0,2.297479519,6.715721489,NARF;PMVK;S100A6;NCK2;ABCB9;PRDM1
FLI1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,21/1446,0.054438019,0.201642867,0,0,1.512790356,4.403267522,DUSP5;TBC1D9B;CSF1;ITGB3;HIP1R;TRAFD1;GIMAP4;CROT;GIMAP5;VPS37B;TEX2;LITAF;OAZ2;ACTG1;PRPF18;EHBP1L1;PGLYRP1;MXD1;EIF4E2;CDK5RAP3;SIPA1
FLI1 20887958 ChIP-Seq HPC-7 Mouse,22/1534,0.055490703,0.204498731,0,0,1.494917068,4.322612189,NMB;CITED2;GMFG;SH2D3C;NKG7;GIMAP5;ARPC5;CENPA;ICAM1;TMEM154;PODNL1;CXCR3;ORMDL3;ZYX;S100A6;RIN3;S100A4;ATF6;MYO1F;S100A10;SLAMF1;CCR2
ESET 19884257 ChIP-Seq ESCs Mouse,20/1369,0.056852339,0.208458576,0,0,1.519726546,4.357508762,DUSP5;INPP1;IL10RA;GLRX;CROT;TEX2;FOXO3;LYST;SORL1;ACTG1;HSD11B1;VAMP8;TPST2;RNF125;RNF138;IRAK2;SESN1;EPSTI1;SLAMF1;SNTB2
SOX9 24532713 ChIP-Seq HFSC Mouse,18/1203,0.057280497,0.20897307,0,0,1.553623592,4.443045097,UBE2H;GBP7;HIP1;ANXA2;DGAT1;CITED2;NGLY1;ARHGAP18;ARPC5;TEX2;HIF1A;LITAF;SNX20;SYTL2;TPST2;IGSF23;ID2;S100A4
NCOR1 26117541 ChIP-Seq K562 Human,23/1631,0.059218549,0.211902507,0,0,1.470107092,4.15528777,DUSP5;UBE2H;NARF;FAM89B;CSF1;ITPR1;ARHGAP18;NBEAL2;GLRX;FURIN;UBE2G2;PRDM1;RHOC;FOXO3;OAZ2;MFSD10;ACTG1;RNF138;EFHD2;ANO10;SNX9;S100A11;SIPA1
